recno,Sample,Object,OName,RAJ2000,DEJ2000,ObsDate,JD,TexpUVB,TexpVIS,TexpNIR,Lupus,Notes,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000_x,DEJ2000_x,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
34," ",Sz118,"         ",242.45266666666663,-39.18802777777777,2457216.0,2457216.097061,"2x450 ","2x400 ","2x480 ",III,,Gaia DR3 5997405509388068352,242.45267366404,-39.18811792928,0.0,0.0,99.0,1636148068921376768,5997405509388068352,623231509,0.0211,0.0108,6.1935,0.0252,246.2023,25.833,-10.573,0.026,-23.57,0.018,-0.2231,-0.1686,-0.1399,-0.1591,0.086,-0.1073,0.5433,-0.2075,-0.1962,-0.0365,580,0,580,0,18.1631,1331.2,0.138,18.497,31,false,1.29,,,,,,,,67,18,0.036682,70,0.1208,138.3,0,0,1.58,0,594,66222.76867,1062.37,62.3348,13.634849,0.017634,68,14606.6,816.884,17.8809,14.927167,0.060784,70,79207.2,3566.66,22.2077,12.500983,0.049036,1.417,0,0,0,0,0,2.426184,1.292318,1.133865,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.997667,,,,,,,,,,,,,,,,,,,,,,,242.45273428982,-39.18801317362,0.423425,0.276193,-0.0252,0.325132
35," ",2MASS J16100133-3906449,"         ",242.50549999999996,-39.112472222222216,2457216.0,2457216.122794,"2x900 ","2x850 ","2x960 ",III,,Gaia DR3 5997407330454214016,242.50549201352,-39.11255546956,0.0,0.0,95.0,1636148068921376768,5997407330454214016,708555363,0.1355,0.0697,5.4313,0.1656,32.8014,26.214,-10.587,0.164,-23.981,0.106,-0.1293,-0.329,0.1041,-0.094,0.0837,-0.026,0.6032,-0.4192,-0.1012,0.1194,522,0,518,4,7.949,2207.3,0.958,47.897,95,false,,1.0998,0.0218,0.155,0.078,-0.078,-0.029,-0.094,61,17,0.235809,63,0.07754,11.92,0,0,1.258,0,536,3417.99346,6.26128,545.894,16.85294,0.003398,59,136.895,5.82218,23.5126,19.997576,0.046261,60,5942.1,16.2699,365.22,15.313046,0.004808,1.779,0,0,0,0,0,4.684529,3.144636,1.539893,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,242.50555265772,-39.11244888536,2.617716,1.657939,0.1287,0.30052
36," ",SSTc2dJ161018.6-383613,"         ",242.57733333333329,-38.60361111111111,2457252.0,2457252.041176,"2x900 ","2x850 ","2x960 ",III,,Gaia DR3 5997493401602368640,242.57731435884,-38.60361161256,0.0,0.0,109.0,1636148068921376768,5997493401602368640,1309915380,0.0896,0.0574,6.2267,0.0982,63.4364,26.772,-8.994,0.12,-25.216,0.092,-0.3552,-0.0974,0.3952,-0.2945,-0.075,-0.1655,0.8075,-0.1983,-0.267,-0.0351,547,0,542,5,1.4025,1504.1,0.535,28.376,95,false,,1.1679,0.0121,-0.086,0.232,-0.097,-0.226,0.127,63,16,0.172321,68,0.04296,13.15,0,0,1.043,0,580,6039.74391,11.5498,522.933,16.234821,0.00345,62,648.673,7.11622,91.1542,18.308477,0.012233,64,8835.43,47.4173,186.333,14.882327,0.006945,1.57,0,55,0,53,0,3.42615,2.073656,1.352494,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999995,3281.9,3275.7,3285.7,4.5928,4.5509,4.5975,0.4656,0.4439,0.4731,153.9926,153.0749,162.732,1.3732,1.3489,1.3886,0.8251,0.8103,0.8344,0.6155,0.605,0.6219,MARCS,242.57736550976,-38.60349954073,1.882753,1.424321,-0.0163,0.053412
37," ",SSTc2dJ161019.8-383607,"         ",242.58266666666663,-38.60188888888889,2457242.0,2457242.086534,"2x900 ","2x850 ","2x960 ",III,,Gaia DR3 5997493401600889856,242.58258795304,-38.60194170126,0.0,0.0,108.0,1636148068921376768,5997493401600889856,1588343864,0.0976,0.0615,6.2989,0.1152,54.6883,26.792,-8.978,0.128,-25.243,0.105,-0.3592,-0.1087,0.3179,-0.2889,-0.1428,-0.1649,0.7936,-0.1729,-0.3735,-0.0731,540,0,539,1,1.4156,784.39,0.365,5.0306,31,false,1.18,,,,,,,,62,16,0.183941,67,0.02845,31.12,0,0,1.043,0,570,2651.97146,2.1848,1213.83,17.128445,0.002897,26,208.872,8.89562,23.4803,19.538841,0.046324,25,4185.01,13.2043,316.943,15.693653,0.005101,1.657,0,19,0,19,0,3.845188,2.410397,1.434792,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,242.58263901237,-38.60182951202,2.017864,1.633968,-0.0563,0.291871
38," ",SSTc2dJ161029.6-392215,"         ",242.6232083333333,-39.370749999999994,2457247.0,2457247.090628,"2x900 ","2x850 ","2x960 ",III,,Gaia DR3 5997387985921425408,242.6230788608,-39.37079040888,0.0,0.0,97.0,1636148068921376768,5997387985921425408,974765874,0.0351,0.0198,6.2329,0.0417,149.4699,26.346,-9.292,0.046,-24.653,0.031,-0.1523,-0.2132,0.1852,-0.0769,0.1027,0.0169,0.6136,-0.1157,-0.0427,0.0975,517,0,517,0,1.8376,723.03,0.151,4.7444,31,false,1.217,,,,,,,,59,18,0.064295,64,0.05453,10.55,0,0,1.057,0,509,13299.05952,13.7681,965.934,15.377814,0.002976,57,1569.38,15.4687,101.455,17.34922,0.011059,52,19021.8,66.4666,286.186,14.049767,0.005355,1.548,0,0,0,0,0,3.299454,1.971406,1.328048,64.6,5.59,2,24,6,10,7.6499,,,795.948,,3500.0,4.5,0.75,101,,,,13.510866,0.089561,24,,VARIABLE,0.0,0.0,0.99999,,,,,,,,,,,,,,,,,,,,,,,242.62313228285,-39.37068083757,0.729166,0.480891,0.1035,0.38858
39," ",SSTc2dJ161243.8-381503,"         ",243.18229166666663,-38.25091666666666,2457213.0,2457213.174667,"2x300 ","2x250 ","2x300 ",III,,Gaia DR3 5997549820286701440,243.18224329746,-38.25095394646,0.0,0.0,103.0,1636148068921376768,5997549820286701440,1711355286,0.0154,0.0094,6.2559,0.0178,350.5087,23.97,-8.499,0.02,-22.413,0.013,-0.2591,-0.2599,0.0978,-0.2834,0.1159,-0.2364,0.5554,-0.135,-0.085,-0.06,415,0,414,1,5.3106,546.12,0.057,3.3159,31,false,1.316,,,,,,,,47,17,0.027557,50,0.004371,107.3,0,0,1.19,0,429,105163.14462,348.776,301.521,13.132708,0.004534,48,26503.8,336.576,78.7453,14.280272,0.014067,49,119177.0,1062.07,112.212,12.057415,0.010388,1.385,0,1,0,0,0,2.222857,1.147565,1.075293,-9.84,38.4,1,26,7,12,28.486,83.861,0.0,765.316,113.89,3700.0,4.5,-0.25,101,,,,11.589773,0.018882,19,,VARIABLE,0.0,0.0,0.996487,,,,,,,,,,,,,,,,,,,,,,,243.18229139564,-38.25085433434,0.313995,0.203701,-0.0371,0.1916
40," ",SSTc2dJ161344.1-373646,"         ",243.43379166666662,-37.61288888888888,2457199.0,2457199.974706,"2x900 ","2x850 ","2x960 ",III,,Gaia DR3 5997644343928854656,243.43367774642,-37.6129541185,0.0,0.0,96.0,1636148068921376768,5997644343928854656,772055876,0.0434,0.0313,6.3072,0.0519,121.4711,26.925,-13.438,0.058,-23.332,0.041,-0.0749,0.0171,0.0075,-0.2613,-0.2924,-0.2153,0.5837,-0.0072,-0.3395,0.0308,377,0,377,0,4.0734,514.75,0.17,2.9429,31,false,1.259,,,,,,,,43,17,0.080563,45,0.04475,1.476,0,0,1.152,0,390,7795.55472,16.1772,481.884,15.957749,0.003559,44,1413.39,22.8833,61.7651,17.462889,0.017799,41,10284.6,55.8186,184.251,14.717425,0.007001,1.501,0,0,0,0,0,2.745463,1.505139,1.240324,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.998613,3329.8,3326.4,3334.5,4.2395,4.2299,4.254,-0.6226,-0.6392,-0.6049,165.0013,163.4697,166.6306,1.3868,1.3696,1.4267,0.8746,0.8636,0.9002,0.5746,0.568,0.5899,MARCS,243.43375314337,-37.6128504219,0.929579,0.639873,0.0545,0.400856
41,T,Sz75/GQ Lup,"         ",237.30041666666662,-35.65141666666666,2455321.0,2455321.270673,"2x400 ","4x160 ","6x240 ","I  ",2,Gaia DR3 6011522757643074304,237.30036178259,-35.65150872134,0.0,0.0,122.0,1636148068921376768,6011522757643074304,1212962493,0.0246,0.0193,6.4893,0.0289,224.4189,27.276,-14.133,0.032,-23.329,0.026,-0.4831,-0.0265,0.1461,-0.3224,-0.0254,-0.1984,0.6619,-0.266,-0.0477,-0.2823,454,454,453,1,16.7718,3500.6,0.218,83.031,31,true,1.375,,,,,,,,51,19,0.048437,59,0.1632,171.6,0,0,1.609,0,459,599444.4604,4793.21,125.061,11.242994,0.009108,53,205611.0,7327.69,28.0594,12.055927,0.038795,53,594072.0,17554.5,33.8415,10.313298,0.032305,1.334,0,1,0,1,0,1.742629,0.812933,0.929696,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.99992,5847.6,5813.3,5893.4,3.8045,3.7963,3.8139,-1.2062,-1.2999,-1.172,153.532,152.7421,154.435,2.5129,2.4929,2.5342,1.9529,1.9359,1.972,1.0843,1.0746,1.0957,MARCS,237.30043908577,-35.65140503883,0.512732,0.400235,-0.2684,0.36824
42,T,Sz76,"         ",237.3780833333333,-35.83094444444444,2456775.0,2456775.245961,"2x478 ","2x280 ","2x26  ","I  ",3,Gaia DR3 6011500389453302272,237.37799444703,-35.83105348046,0.0,0.0,122.0,1636148068921376768,6011500389453302272,1507617576,0.0202,0.016,6.3938,0.023,278.411,26.952,-12.828,0.027,-23.703,0.022,-0.4737,0.1157,0.2421,-0.3227,-0.063,-0.1605,0.7034,-0.1115,-0.066,-0.2015,398,0,393,5,6.7672,573.11,0.094,5.5294,31,false,1.273,,,,,,,,45,18,0.040037,49,0.01581,81.91,1,0,1.252,0,418,53272.94269,44.0349,1209.79,13.8711,0.002898,46,10482.0,61.3725,170.793,15.287431,0.006942,46,67945.4,111.768,607.912,12.667496,0.00418,1.472,0,0,0,0,0,2.619935,1.41633,1.203605,-1.51,3.68,2,21,4,14,18.503,,,923.091,,3500.0,3.5,-0.75,111,,,,12.130976,0.026873,17,,VARIABLE,0.0,0.0,0.992964,3507.7,3506.6,3509.0,3.9687,3.9684,3.9692,-0.3258,-0.3316,-0.3205,151.5688,151.2042,151.9203,0.8895,0.8866,0.8928,0.58,0.578,0.5822,0.3719,0.3706,0.3732,MARCS,237.37806477062,-35.83094813447,0.431337,0.335339,-0.188,0.470515
43,T,Sz77,"         ",237.94562499999998,-35.94558333333333,2455321.0,2455321.376758,"2x400 ","4x320 ","6x240 ","I  ",2,Gaia DR3 6011392186336443392,237.94558980233,-35.94569433297,0.0,0.0,112.0,1636148068921376768,6011392186336443392,442003535,0.0143,0.0102,6.4411,0.018,358.027,27.245,-12.55,0.019,-24.183,0.014,-0.3492,-0.2667,-0.0376,-0.0686,0.171,-0.0318,0.4979,-0.1758,-0.049,-0.1697,415,415,411,4,4.7921,1040.8,0.097,13.59,31,true,1.376,,,,,,,,47,18,0.027184,50,0.04603,2.531,0,0,1.172,0,437,332851.36836,2598.8,128.079,11.881741,0.008914,47,111383.0,2939.97,37.8857,12.721496,0.028794,47,338061.0,7477.41,45.2109,10.925409,0.02431,1.35,0,1,0,0,0,1.796086,0.839755,0.956331,-31.3,9.55,1,19,6,14,60.005,43.944,0.0,797.379,98.35,4000.0,2.5,-2.0,111,,,,10.406317,0.057294,13,59.1549,VARIABLE,0.0,0.0,0.998258,,,,,,,,,,,,,,,,,,,,,,,237.94565870209,-35.94558685545,0.309339,0.220651,-0.1691,0.412556
44,T,RXJ1556.1-3655,"         ",239.0087083333333,-36.924527777777776,2456775.0,2456775.268274,"2x478 ","2x280 ","2x26  ","II ",3,Gaia DR3 6010483616079976448,239.00868172053,-36.92462072202,0.0,0.0,105.0,1636148068921376768,6010483616079976448,773620201,0.0192,0.0135,6.3309,0.023,275.8121,25.435,-11.851,0.027,-22.506,0.019,-0.2082,-0.2172,0.2009,-0.0569,0.1417,0.0273,0.5899,-0.0761,0.0753,-0.008,417,287,417,0,12.6944,1294.1,0.147,25.127,31,true,1.361,,,,,,,,48,19,0.037021,51,0.07088,159.9,0,0,1.472,0,430,136478.94273,882.562,154.639,12.849703,0.007542,49,42706.8,1311.5,32.5633,13.7623,0.033459,49,140157.0,1839.26,76.203,11.88136,0.014741,1.34,0,11,0,0,0,1.88094,0.912598,0.968343,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999019,3681.8,3677.7,3686.7,4.0045,4.003,4.0069,-0.266,-0.2705,-0.2614,155.7202,155.2059,156.1905,0.0671,0.0548,0.079,0.046,0.0376,0.0542,0.0273,0.0223,0.0322,PHOENIX,239.00874760767,-36.92452069615,0.421566,0.298097,-0.0073,0.343253
