recno,Name,Vmag,SpType,n_Name,Teff,e_Teff,E_Teff,logg,e_logg,E_logg,[M/H],e_[M/H],E_[M/H],SMR,_RA,_DE,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff_x,b_Teff_x,B_Teff_xa,logg_x,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
63,TYC 2342-6-1,11.36,G2V," ",5750,30,15,4.0,0.15,0.1,-0.06,0.04,0.04," ",52.50268,31.49145,Gaia DR3 121403061713265920,52.50283735773,31.49120308113,0.0,0.0,92.0,1636148068921376768,121403061713265920,1605052563,0.0235,0.0156,4.8417,0.0239,202.696,63.932,30.018,0.031,-56.447,0.022,-0.0348,0.1316,-0.3394,0.1852,0.1504,0.1519,0.2744,0.0937,0.2991,-0.0439,156,156,155,1,-1.169,460.33,0.11,13.131,31,true,1.534,,,,,,,,18,12,0.043466,23,0.01988,121.3,0,0,0.931,0,180,638603.24617,204.01,3130.25,11.174289,0.002777,22,328159.0,214.589,1529.24,11.548331,0.002879,21,444555.0,217.963,2039.58,10.628082,0.003817,1.21,0,0,0,0,0,0.920249,0.374043,0.546206,29.2,0.5,1,10,3,8,43.558,0.52263,0.320671,703.505,4.57,5750.0,4.0,-0.25,222,,,,10.41186,0.021983,6,,NOT_AVAILABLE,0.0,0.0,0.999862,5793.6,5790.8,5796.3,4.2503,4.2462,4.2542,-0.2581,-0.2624,-0.254,203.2648,202.3102,204.3318,0.3348,0.333,0.3368,0.2794,0.2778,0.281,0.1505,0.1497,0.1515,MARCS,52.50268090049,31.49145395577,0.498268,0.345334,-0.0593,1.011682
64,TYC 2342-311-1,11.03,G2V," ",6020,55,45,4.55,0.25,0.2,0.04,0.04,0.04," ",52.53575,30.37896,Gaia DR3 120742049066779520,52.53583658722,30.37886571897,0.0,0.0,102.0,1636148068921376768,120742049066779520,176473094,0.022,0.0138,5.703,0.0213,268.2396,25.887,11.944,0.027,-22.967,0.018,-0.2247,0.1285,-0.2786,0.2225,-0.1791,0.1921,0.2074,0.187,0.1151,-0.1163,205,205,204,1,2.1253,602.59,0.112,14.636,31,true,1.548,,,,,,,,23,13,0.038834,27,0.01998,122.4,0,0,1.107,1,234,818703.76874,406.972,2011.69,10.90455,0.002808,24,433941.0,699.514,620.346,11.244967,0.003294,25,552261.0,575.85,959.036,10.392535,0.003945,1.205,0,24,0,25,0,0.852431,0.340417,0.512014,30.23,0.51,1,12,2,8,55.606,0.69087,0.158838,557.552,4.72,5500.0,4.5,-0.75,111,9.7414,7.1789,7,10.201665,0.011258,7,,VARIABLE,0.0,0.0,0.999762,5666.3,5651.7,5687.6,4.3641,4.3599,4.3719,-0.4604,-0.4767,-0.4402,173.2166,171.0726,174.086,0.1089,0.0993,0.1225,0.0911,0.0831,0.1025,0.0491,0.0448,0.0553,MARCS,52.53577505432,30.37896779683,0.443079,0.282334,-0.1366,0.433031
65,BD+55 808,10.19,G0V," ",6080,50,40,4.35,0.25,0.2,-0.08,0.02,0.04," ",55.30239,56.24124,Gaia DR3 448682730768569856,55.30189307905,56.24107485073,0.0,0.0,47.0,1636148068921376768,448682730768569856,534478832,0.0092,0.009,7.4698,0.0134,557.6735,73.009,-62.846,0.014,-37.158,0.014,0.4001,-0.0208,-0.1159,0.4104,0.0316,0.2953,0.3342,0.0475,0.035,0.1191,567,567,557,10,-2.5239,1072.9,0.075,9.7236,31,true,1.578,,,,,,,,64,22,0.020709,70,0.0243,44.68,0,0,0.924,0,587,1912932.73257,234.002,8174.85,9.983118,0.002759,61,1066940.0,203.815,5234.84,10.268192,0.002798,64,1222290.0,203.939,5993.4,9.529962,0.003784,1.197,0,1,0,0,0,0.738231,0.285074,0.453156,-65.17,0.17,1,19,5,13,112.32,-1.6955,0.917765,801.875,1.99,6000.0,4.0,-0.25,444,,,,9.348812,0.007661,12,,NOT_AVAILABLE,0.0,0.0,0.998258,5908.1,5906.7,5909.8,4.2656,4.2642,4.267,-0.4521,-0.4542,-0.4499,133.074,132.8403,133.3016,0.0046,0.0035,0.0058,0.0039,0.0029,0.005,0.0021,0.0016,0.0027,MARCS,55.30239571193,56.24123999313,0.223674,0.216005,0.0913,1.15832
67,HD 232824,9.52,G2V," ",5900,50,85,4.15,0.25,0.45,0.16,0.06,0.1,*,55.84167,54.10409,Gaia DR3 444908794543668480,55.84171324023,54.1040382223,0.0,0.0,59.0,1636148068921376768,444908794543668480,857740859,0.0191,0.017,6.1123,0.0256,238.4809,12.848,5.939,0.025,-11.393,0.024,0.2166,0.1481,-0.1712,0.1838,0.0176,0.1581,0.1772,0.0754,0.0483,0.1933,392,392,390,2,17.4226,2129.9,0.209,56.542,31,true,1.532,,,,,,,,44,21,0.037165,49,0.01,163.2,0,0,1.689,0,379,3194010.96469,378.384,8441.19,9.426526,0.002758,43,1635170.0,616.541,2652.17,9.804634,0.00282,42,2243360.0,452.919,4953.1,8.87065,0.003786,1.214,0,0,0,0,0,0.933984,0.378108,0.555876,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999698,5647.7,5643.8,5651.5,4.0091,4.0073,4.011,-0.309,-0.3135,-0.3047,160.8604,160.179,161.4696,0.2713,0.2688,0.2739,0.2253,0.2232,0.2275,0.1214,0.1202,0.1226,MARCS,55.84166822452,54.10408885659,0.400755,0.381578,0.1775,0.207545
68,TYC 3728-1050-1,10.91,G0V," ",6265,40,45,4.2,0.25,0.25,0.14,0.04,0.04," ",55.9181,58.14435,Gaia DR3 449148958060395904,55.91794094883,58.14431491814,0.0,0.0,40.0,1636148068921376768,449148958060395904,517414266,0.0094,0.0098,3.8653,0.0136,284.6234,20.8,-18.964,0.014,-8.545,0.016,0.2674,0.0687,0.0165,0.3189,0.0051,0.2803,0.3447,0.0487,0.0365,0.1699,484,484,478,6,0.5764,1122.2,0.088,13.265,31,true,1.517,,,,,,,,55,23,0.023108,60,0.008172,19.49,0,0,1.018,1,490,837855.57447,127.031,6595.66,10.879444,0.00276,53,416349.0,161.459,2578.67,11.289899,0.002822,54,606263.0,145.644,4162.63,10.291243,0.003788,1.221,0,0,0,0,0,0.998656,0.410455,0.588202,-10.54,0.35,1,26,15,17,79.415,-0.56615,0.931722,802.198,3.67,6750.0,4.5,0.25,555,,,,10.053948,0.007576,10,,NOT_AVAILABLE,0.0,0.0,0.999923,,,,,,,,,,,,,,,,,,,,,,,55.91810064529,58.14435289462,0.230655,0.244877,0.1482,0.327528
69,BD+24 541,10.76,G1V," ",5850,45,50,4.55,0.2,0.25,-0.24,0.04,0.04," ",56.01475,24.50424,Gaia DR3 68296890611072384,56.0148582894,24.50404176792,0.0,0.0,88.0,1636148068921376768,68296890611072384,573708201,0.017,0.0106,7.387,0.0188,392.2275,50.906,22.073,0.023,-45.872,0.013,0.0391,0.0226,-0.3498,0.1499,-0.1697,0.0147,0.093,0.4465,-0.0081,-0.051,241,241,240,1,1.1019,652.87,0.089,10.639,95,false,,1.5376,0.0038,-0.194,-0.016,-0.145,-0.15,-0.021,27,15,0.033139,33,0.0188,114.2,0,0,1.05,0,266,1156338.70934,792.513,1459.08,10.529655,0.002854,30,598240.0,1480.64,404.042,10.896353,0.003874,30,798489.0,1514.69,527.163,9.992223,0.004304,1.208,0,13,0,13,0,0.90413,0.366698,0.537432,4.4,1.9,1,14,4,10,75.802,10.723,0.0,919.078,20.94,5750.0,4.5,0.0,222,60.9833,12.3619,8,9.778355,0.00538,8,83.16134,NOT_AVAILABLE,0.0,0.0,0.999798,5793.8,5787.2,5812.5,4.3494,4.3468,4.3555,-0.297,-0.3041,-0.285,134.3751,134.016,134.7676,0.3044,0.2999,0.3174,0.2543,0.2506,0.2653,0.1371,0.135,0.143,MARCS,56.01475047849,24.50424564297,0.374741,0.21287,-0.0578,0.796937
70,HD 23650,8.96,G2V," ",5975,65,60,4.55,0.3,0.3,-0.04,0.06,0.06," ",57.39561,58.76811,Gaia DR3 473198575895156864,57.39603739814,58.7678127241,0.0,0.0,54.0,1636148068921376768,473198575895156864,255116196,0.0094,0.0088,13.8946,0.0129,1076.4004,84.241,49.672,0.013,-68.038,0.014,0.2056,0.0628,-0.0955,0.21,0.1485,0.182,0.1963,0.0855,0.0582,0.1618,409,409,406,3,-4.7515,608.7,0.057,4.1775,31,true,1.574,,,,,,,,46,23,0.020865,56,0.01196,34.78,0,0,0.836,0,468,5413813.36971,1726.14,3136.36,8.853609,0.002777,51,3002270.0,3245.17,925.151,9.144917,0.003027,51,3477230.0,2498.06,1391.97,8.394813,0.003859,1.197,0,0,0,0,0,0.750104,0.291307,0.458797,5.13,0.19,1,12,4,10,160.53,-0.16863,0.334157,931.367,1.56,5750.0,4.0,-0.25,444,12.0625,1.2417,6,8.22195,0.008072,7,,VARIABLE,0.0,0.0,0.992964,5879.8,5877.4,5894.0,4.3663,4.3632,4.374,-0.2875,-0.2977,-0.2673,71.8082,71.7266,71.8947,0.0014,2.0E-4,0.0096,0.0012,2.0E-4,0.0081,6.0E-4,1.0E-4,0.0044,MARCS,57.39561162289,58.76811511566,0.214312,0.226415,0.1461,1.334834
71,TYC 3725-220-1,10.22,G0V," ",6015,40,50,4.6,0.2,0.3,0.0,0.02,0.04," ",58.59826,57.05429,Gaia DR3 469793796401362688,58.59779027275,57.05417077066,0.0,0.0,65.0,1636148068921376768,469793796401362688,731685600,0.0095,0.0084,7.8959,0.0141,561.183,63.273,-57.538,0.017,-26.322,0.014,0.1494,-0.0994,-0.1652,0.3478,-0.001,0.3459,0.0847,-0.0261,-0.0352,0.0277,460,460,451,9,-4.6927,749.1,0.065,6.1145,31,false,1.57,,,,,,,,52,21,0.024192,55,0.009035,178.9,0,0,0.846,0,464,1746310.62921,231.732,7535.89,10.082063,0.002759,53,962183.0,236.84,4062.58,10.380398,0.002803,51,1129970.0,137.982,8189.28,9.615225,0.003782,1.198,0,0,0,0,0,0.765173,0.298335,0.466838,2.41,0.3,1,17,8,11,97.558,0.51527,0.200731,643.038,4.15,6000.0,4.5,-0.25,222,,,,9.434529,0.006442,5,,NOT_AVAILABLE,0.0,0.0,0.999146,5861.3,5856.6,5864.3,4.3313,4.3287,4.3353,-0.3904,-0.3963,-0.3864,125.4632,124.9881,125.7804,0.033,0.0303,0.0349,0.0279,0.0256,0.0296,0.0151,0.0138,0.016,MARCS,58.59826049133,57.05428775456,0.278812,0.222115,0.0029,1.014886
72,TYC 3725-509-1,10.52,G2V," ",5740,75,40,4.0,0.3,0.25,-0.04,0.08,0.06," ",58.7723,57.04802,Gaia DR3 469629526794375936,58.77263908542,57.04777441935,0.0,0.0,65.0,1636148068921376768,469629526794375936,697312919,0.0096,0.0081,5.3393,0.0135,394.1975,70.08,42.638,0.017,-55.617,0.013,0.2012,-0.1639,-0.0666,0.3867,-0.0459,0.3686,0.2333,-0.0293,-0.0811,0.0721,484,484,477,7,-4.2808,836.36,0.067,7.3675,31,false,1.525,,,,,,,,55,21,0.023879,59,0.01325,155.6,0,0,0.863,1,475,1453821.21889,193.807,7501.4,10.28109,0.002759,52,733721.0,190.104,3859.58,10.674714,0.002804,52,1030460.0,168.569,6112.98,9.715321,0.003784,1.213,0,0,0,0,0,0.959394,0.393624,0.565769,-28.84,0.17,1,25,14,15,115.25,-1.9792,0.957181,645.951,1.99,5750.0,4.0,0.0,444,,,,9.499092,0.006949,9,,NOT_AVAILABLE,0.0,0.0,0.999826,5582.1,5573.3,5590.3,4.1409,4.1393,4.1426,-0.1799,-0.1879,-0.1716,186.0151,185.5499,186.4829,0.2749,0.2693,0.28,0.2271,0.2224,0.2314,0.1218,0.1193,0.1241,MARCS,58.77229069929,57.04802160557,0.273379,0.213848,0.0452,1.105666
73,BD+55 833,10.71,G0V," ",6225,35,50,4.3,0.25,0.25,-0.08,0.02,0.04," ",58.8673,56.33421,Gaia DR3 469527134772277248,58.86710468654,56.3341471065,0.0,0.0,54.0,1636148068921376768,469527134772277248,71529668,0.0093,0.0083,4.6253,0.013,355.5527,28.07,-23.333,0.013,-15.603,0.014,0.3458,0.1664,0.0728,0.425,0.0348,0.3553,0.3791,-0.0441,0.0924,0.2438,510,510,499,11,-4.1318,837.04,0.066,7.3572,31,true,1.511,,,,,,,,57,22,0.021925,63,0.02058,177.9,0,0,0.871,0,510,1263550.43496,162.027,7798.4,10.433386,0.002759,60,617744.0,232.015,2662.52,10.86152,0.00282,59,929291.0,190.03,4890.22,9.827516,0.003786,1.224,0,60,0,25,0,1.034004,0.428134,0.60587,-23.22,0.2,1,14,1,12,85.483,-1.656,0.933067,654.794,1.68,6250.0,4.0,0.0,444,,,,9.574165,0.009025,11,,NOT_AVAILABLE,0.0,0.0,0.999935,6047.7,6036.6,6058.3,3.906,3.9017,3.9118,-0.4125,-0.4195,-0.4019,217.6711,216.5696,218.4937,0.7757,0.7693,0.7813,0.6461,0.6406,0.651,0.351,0.348,0.3537,MARCS,58.86729175931,56.33421645307,0.214897,0.221612,0.2162,0.450767
74,HD 237200,9.66,G0V," ",6045,40,70,4.25,0.25,0.4,0.18,0.04,0.06,*,59.25484,55.88326,Gaia DR3 468740915239611520,59.25461819319,55.88341984511,0.0,0.0,68.0,1636148068921376768,468740915239611520,168274153,0.0099,0.008,7.4972,0.0147,509.4064,45.239,-29.086,0.016,34.649,0.013,0.2059,-0.0162,-0.0558,0.241,0.0513,0.2119,0.1719,0.1149,0.1198,0.0777,512,512,505,7,0.8671,1081.1,0.083,11.642,31,true,1.574,,,,,,,,59,22,0.021874,65,0.02747,176.3,1,0,1.027,0,522,3089398.73499,407.016,7590.35,9.462682,0.002759,59,1717120.0,495.083,3468.35,9.751539,0.002808,59,1976850.0,426.819,4631.59,9.007962,0.003787,1.196,0,0,0,0,0,0.743577,0.288857,0.45472,-37.21,0.15,1,20,6,12,144.41,-1.1335,0.778105,770.39,1.41,6000.0,4.0,0.25,222,,,,8.847784,0.009512,8,,NOT_AVAILABLE,0.0,0.0,0.996487,5927.2,5917.2,5939.0,4.1475,4.1427,4.153,-0.1183,-0.1276,-0.1071,132.5967,132.3426,132.8519,0.0114,0.0053,0.0186,0.0097,0.0045,0.0158,0.0052,0.0024,0.0085,MARCS,59.25484867063,55.88326584991,0.250517,0.208875,0.0606,0.729189
75,BD+54 724,10.18,G0V," ",6015,55,65,4.6,0.25,0.35,-0.04,0.04,0.06," ",59.37031,54.88398,Gaia DR3 444442773415629952,59.37042613611,54.88378676298,0.0,0.0,64.0,1636148068921376768,444442773415629952,1571301383,0.0105,0.0084,7.7387,0.0152,509.697,45.524,15.019,0.016,-42.976,0.013,0.295,0.046,0.0261,0.2468,0.0886,0.2237,0.1623,0.036,0.1685,0.1,588,588,584,4,-4.9784,1503.3,0.104,19.22,95,false,,1.5731,0.0025,-0.148,-0.023,0.009,0.015,0.049,66,21,0.022309,78,0.01744,162.1,0,0,0.857,0,625,1686807.52403,332.061,5079.81,10.119703,0.002764,69,934819.0,322.436,2899.23,10.411723,0.002815,67,1083280.0,266.632,4062.82,9.661046,0.003789,1.196,0,0,0,0,0,0.750677,0.29202,0.458657,-11.73,0.2,1,31,8,16,126.0,-0.18779,0.296858,929.687,3.32,5500.0,3.5,0.0,333,9.4242,3.7345,20,9.486066,0.007123,20,,NOT_AVAILABLE,0.0,0.0,0.997667,5866.0,5864.6,5869.1,4.3642,4.3616,4.3674,-0.2862,-0.2906,-0.2817,128.1445,127.8163,128.4146,0.0012,3.0E-4,0.0032,0.001,2.0E-4,0.0027,5.0E-4,1.0E-4,0.0015,MARCS,59.37031009145,54.88397776492,0.253353,0.213654,0.0819,0.736053
76,TYC 3729-689-1,10.9,G2V," ",5670,45,65,4.9,0.05,0.2,0.14,0.08,0.08," ",59.5818,58.42691,Gaia DR3 470046207341372160,59.58177574394,58.4269600615,0.0,0.0,71.0,1636148068921376768,470046207341372160,704566276,0.0122,0.0093,6.7862,0.0145,467.49,10.651,-2.405,0.018,10.376,0.015,0.2116,0.1095,-0.0393,0.268,0.0352,0.2535,0.2186,0.068,-0.0762,0.1919,416,416,411,5,-1.5656,1025.4,0.096,14.472,31,true,1.538,,,,,,,,47,22,0.025363,54,0.01274,67.43,2,0,0.945,0,467,751907.13992,158.712,4737.54,10.996956,0.002765,50,391562.0,249.402,1570.0,11.356541,0.002875,50,520871.0,595.058,875.328,10.45607,0.003978,1.213,0,22,0,25,0,0.900471,0.359585,0.540886,-56.84,0.39,1,11,7,9,42.805,-0.35326,0.570938,666.609,2.98,5250.0,4.5,0.25,444,,,,10.264829,0.030022,3,,NOT_AVAILABLE,0.0,0.0,0.99964,5628.3,5617.6,5640.4,4.5257,4.5168,4.5346,-0.0131,-0.0244,-0.0022,145.3954,144.982,145.7501,0.1442,0.1373,0.1518,0.1196,0.1139,0.126,0.0638,0.0607,0.0672,MARCS,59.58179615672,58.42691394731,0.280902,0.239878,0.1717,0.18593
77,BD+56 863,9.84,G0V," ",6020,40,45,4.8,0.15,0.2,-0.36,0.04,0.04," ",59.75244,56.69836,Gaia DR3 469551220949329024,59.75192288491,56.69817609901,0.0,0.0,51.0,1636148068921376768,469551220949329024,1277164245,0.0425,0.0404,9.8493,0.0735,133.9751,79.586,-69.243,0.075,-39.235,0.068,0.2293,-0.0239,0.0038,0.2808,0.1822,0.2483,0.2695,-0.057,0.1578,0.0828,423,423,422,1,70.0098,15777.0,0.536,394.35,31,false,1.575,,,,,,,,48,20,0.106322,52,0.01713,1.99,0,0,4.23,0,436,2484834.51317,329.877,7532.62,9.699123,0.002759,48,1383420.0,432.47,3198.88,9.986157,0.002811,48,1596100.0,352.929,4522.44,9.240244,0.003787,1.199,0,0,0,0,0,0.745914,0.287034,0.458879,-13.93,0.72,1,16,11,13,112.51,9.9452,0.0,899.382,7.65,5750.0,3.5,-0.25,444,,,,9.056018,0.005462,4,,NOT_AVAILABLE,0.0,0.0,0.998613,5994.4,5984.7,6012.3,4.3472,4.3161,4.357,-0.6977,-0.707,-0.6773,103.8922,102.4851,108.5406,0.051,0.0455,0.0626,0.0434,0.0386,0.0532,0.0235,0.0209,0.0289,PHOENIX,59.75248339383,56.69835047313,1.203819,1.079061,0.0646,1.217794
78,BD+58 681,9.96,G2V,*,5670,55,50,3.0,0.25,0.0,-0.46,0.08,0.08," ",60.36676,58.53042,Gaia DR3 470368123726669952,60.36688602424,58.53026936324,0.0,0.0,69.0,1636148068921376768,470368123726669952,1059940902,0.0111,0.0103,4.9751,0.0153,325.2815,36.52,14.889,0.017,-33.347,0.016,0.0696,-0.0026,0.0899,0.2362,0.087,0.2303,0.2256,9.0E-4,0.1286,0.0521,385,385,374,11,0.6497,806.42,0.089,10.617,31,true,1.55,,,,,,,,44,22,0.024337,50,0.01118,168.4,0,0,1.023,0,420,2141366.09192,597.275,3585.22,9.86064,0.002772,47,1138060.0,1064.75,1068.86,10.198126,0.002969,47,1436460.0,842.364,1705.27,9.354661,0.003833,1.202,0,0,0,0,0,0.843465,0.337486,0.505979,20.28,5.23,1,15,4,12,110.01,53.934,0.0,931.117,42.15,6000.0,4.0,0.0,444,18.0361,1.4027,7,9.163465,0.017422,8,,NOT_AVAILABLE,0.0,0.0,0.999324,5930.1,5923.2,5936.9,4.0565,4.0544,4.0585,-0.16,-0.1659,-0.1542,199.5033,198.8073,200.2196,0.1571,0.1532,0.1609,0.1317,0.1284,0.1349,0.0704,0.0687,0.0722,PHOENIX,60.36675926892,58.53041757086,0.273804,0.260197,0.034,0.591758
79,TYC 3726-1458-1,10.76,G0V," ",6110,60,50,3.7,0.35,0.25,-0.42,0.04,0.04," ",60.42826,57.98361,Gaia DR3 469778854217659008,60.42832613177,57.98366125813,0.0,0.0,58.0,1636148068921376768,469778854217659008,881723448,0.0098,0.0087,3.3946,0.0134,254.2666,13.718,8.034,0.013,11.12,0.014,0.2404,0.2031,0.0532,0.3634,0.0337,0.3171,0.3838,-0.1215,0.0491,0.2318,409,409,406,3,-2.3477,721.86,0.057,4.8021,31,true,1.536,,,,,,,,46,21,0.02209,53,0.02069,178.8,0,0,0.917,0,419,1163186.81698,166.35,6992.41,10.523243,0.00276,50,600764.0,185.505,3238.54,10.891783,0.00281,48,809521.0,217.706,3718.4,9.977325,0.003791,1.212,0,19,0,0,0,0.914457,0.36854,0.545918,-32.52,0.28,1,17,7,12,83.397,-0.11855,0.448124,568.765,3.08,6000.0,4.0,-0.25,444,,,,9.750997,0.00787,9,,NOT_AVAILABLE,0.0,0.0,0.999937,6037.7,6026.0,6049.2,3.9451,3.9426,3.9476,-0.4541,-0.4638,-0.4437,293.5562,292.3485,294.7481,0.4894,0.4828,0.4956,0.412,0.4063,0.4174,0.2235,0.2205,0.2264,MARCS,60.4282587834,57.98361183687,0.213283,0.227752,0.2068,0.223567
80,BD+56 874,9.78,G0V," ",5910,45,60,4.3,0.2,0.3,-0.18,0.04,0.04," ",61.02933,57.0486,Gaia DR3 468923846488282752,61.02951829064,57.04824752735,0.0,0.0,59.0,1636148068921376768,468923846488282752,1320884328,0.0118,0.0106,6.8182,0.0166,410.6564,83.366,23.552,0.018,-79.969,0.018,0.1944,0.1142,0.0126,0.3341,-0.0802,0.3437,0.3726,-0.0999,-0.0416,0.2272,495,495,488,7,-1.0044,1425.5,0.114,19.693,95,false,,1.5634,0.003,-0.152,-0.147,0.102,-0.11,-0.068,56,22,0.028105,59,0.01373,173.7,0,0,0.967,0,503,2676474.18274,498.936,5364.36,9.618459,0.002763,57,1462040.0,367.811,3974.99,9.926141,0.002804,57,1748200.0,379.417,4607.59,9.14142,0.003787,1.199,0,0,0,0,0,0.78472,0.307682,0.477038,2.55,0.19,1,23,8,16,148.02,0.27651,0.129505,930.541,2.24,5500.0,3.5,0.0,333,7.094,2.396,9,8.947207,0.00934,10,,NOT_AVAILABLE,0.0,0.0,0.992964,5902.6,5888.6,5913.8,4.1729,4.1705,4.1827,-0.5953,-0.6084,-0.5823,145.7553,143.2488,146.3334,0.07,0.0621,0.0768,0.0592,0.0525,0.065,0.032,0.0283,0.0351,PHOENIX,61.02932584415,57.04860294695,0.290709,0.27937,0.2038,1.321382
81,BD+57 771,9.98,G0V," ",5915,50,60,4.5,0.2,0.25,-0.32,0.04,0.06," ",61.05166,57.65979,Gaia DR3 469709756782283648,61.0522420721,57.6594527268,0.0,0.0,87.0,1636148068921376768,469709756782283648,666443483,0.0444,0.0363,6.019,0.0656,91.6859,103.586,68.96,0.07,-77.296,0.059,0.0221,-0.1359,-0.1459,0.3444,0.2134,0.3388,0.2667,0.185,0.1833,-0.0879,415,415,414,1,63.8641,13141.0,0.493,322.85,31,true,1.553,,,,,,,,47,20,0.099132,55,0.01254,148.5,0,0,3.925,1,441,2189139.94251,261.217,8380.55,9.836683,0.002758,51,1168890.0,206.223,5668.09,10.169106,0.002797,50,1475300.0,241.188,6116.81,9.325694,0.003784,1.208,0,2,0,0,0,0.843411,0.332422,0.510989,-23.7,1.89,1,16,7,12,107.16,23.943,0.0,784.389,17.14,5500.0,4.0,-0.75,222,5.2421,2.3138,6,9.122872,0.006372,7,,NOT_AVAILABLE,0.0,0.0,0.999863,5934.3,5891.0,5959.4,3.9787,3.9317,4.0037,-0.8107,-0.8553,-0.7838,156.9615,152.7356,164.8713,0.2465,0.2213,0.2613,0.2079,0.1864,0.2205,0.1129,0.1012,0.1198,PHOENIX,61.05166914162,57.65979626212,1.128417,0.935941,-0.1149,1.652512
82,HD 283416,11.02,G0V," ",6310,25,30,4.5,0.1,0.15,-0.02,0.02,0.04," ",61.87106,25.58655,Gaia DR3 162243802653068160,61.87107330874,25.586523767,0.0,0.0,73.0,1636148068921376768,162243802653068160,1577472388,0.0138,0.0082,5.5241,0.0163,338.9632,12.034,-6.912,0.02,-9.85,0.013,0.3697,0.0735,-0.0794,0.0514,-0.0263,-0.1193,0.42,0.0296,-0.1314,-0.0116,463,463,457,6,3.1721,1103.5,0.081,11.591,31,true,1.537,,,,,,,,53,17,0.027371,60,0.05893,158.6,0,0,1.107,0,454,976436.64423,106.266,9188.63,10.713257,0.002758,52,504509.0,229.381,2199.43,11.081371,0.002834,52,679689.0,186.586,3642.76,10.167119,0.003791,1.213,0,0,0,0,0,0.914252,0.368114,0.546138,-19.57,0.35,1,22,10,11,81.565,1.1059,0.108653,919.078,4.8,6250.0,4.5,-0.25,222,,,,9.943455,0.015347,8,,NOT_AVAILABLE,0.0,0.0,0.999937,6068.5,6055.9,6080.3,4.2787,4.2762,4.2811,-0.5179,-0.531,-0.5053,179.8646,179.3212,180.3648,0.5014,0.4947,0.5083,0.4223,0.4166,0.4282,0.2294,0.2262,0.2326,MARCS,61.87110736999,25.5865675466,0.317624,0.198695,-0.0084,0.103856
83,HD 283469,11.51,G0V," ",6190,30,25,4.5,0.1,0.1,-0.18,0.04,0.04," ",62.89657,26.75462,Gaia DR3 162794280021822976,62.8967567984,26.75450592049,0.0,0.0,70.0,1636148068921376768,162794280021822976,1079867515,0.0207,0.013,4.046,0.0243,166.2629,32.282,23.91,0.028,-21.689,0.02,0.3982,-0.0098,-0.0781,0.1331,-0.0517,0.0335,0.3626,0.2898,-0.0919,0.1884,400,400,393,7,6.0803,2110.2,0.164,48.123,31,true,1.564,,,,,,,,45,18,0.039347,48,0.02962,124.5,1,0,1.225,0,386,638697.54176,196.635,3248.14,11.174129,0.002776,45,347897.0,199.468,1744.12,11.484917,0.002859,44,417992.0,151.84,2752.84,10.694975,0.0038,1.199,0,1,0,1,0,0.789942,0.310788,0.479154,-78.15,0.4,1,14,8,10,47.523,-1.0706,0.880172,701.112,3.53,6250.0,4.0,-0.5,222,,,,10.509841,0.011397,6,,NOT_AVAILABLE,0.0,0.0,0.999904,5882.2,5870.7,5894.0,4.2757,4.2716,4.28,-0.5902,-0.6023,-0.5781,242.9672,241.3407,244.4231,0.1197,0.1128,0.1269,0.1014,0.0955,0.1075,0.0549,0.0517,0.0582,MARCS,62.89663779197,26.7546023161,0.44515,0.322353,0.1833,0.727489
