recno,Astrom,PNG,OName,GaiaEDR3,Group,RA_ICRS,DE_ICRS,Dang,Gmag,BP-RP,AV,(BP-RP)0,_RA_icrs,_DE_icrs
907," ","PN G129.2-02.0 ",We2-5,509636112062310016,A,25.6578,60.1631,0.01,20.29,0.01,0.81,-0.43,25.6578,60.1631
908," ","PN G129.6+03.4 ",IPHASXJ015624.9+652830,518353624360945152,A,29.1045,65.4751,0.81,18.84,0.42,1.24,-0.25,29.1045,65.4751
909," ","PN G129.6-05.6 ",KLSS2-8,409721566300550656,A,25.0243,56.5818,0.06,19.78,0.12,0.85,-0.35,25.0243,56.5818
910,*,"PN G130.2+01.3 ",IC1747,511904404556131200,A,29.3987,63.3218,0.57,15.8,0.36,1.45,-0.43,29.3987,63.3218
911," ","PN G130.3-11.7 ",M1-1,405830570741274752,B,24.3307,50.4698,0.67,17.72,0.13,0.39,-0.08,24.3307,50.4698
912," ","PN G130.9-10.5 ",NGC650/1,406328443354164480,B,25.5819,51.5754,2.76,17.42,0.26,0.3,0.1,25.5819,51.5754
913," ","PN G131.0+03.7 ",Fe8,515511318086256768,B,32.5436,65.4206,0.05,19.27,2.26,2.23,1.32,32.5436,65.4206
914," ","PN G131.4-05.4 ",BV5-3,504819018483991168,A,28.2625,56.4054,0.88,20.51,-0.27,0.51,-0.55,28.2625,56.4054
915,*,"PN G131.5+02.6 ",Abell3,515007024509005440,B,33.0278,64.1506,1.47,17.17,1.52,1.33,0.92,33.0278,64.1506
916," ","PN G132.8+02.0 ",IPHASXJ022045.0+631134,513965507818493312,B,35.1881,63.1928,0.89,20.24,0.75,1.2,0.14,35.1881,63.1928
917," ","PN G134.1+03.0 ",IPHASXJ023538.6+633823,514222660399569024,B,38.9137,63.6414,5.26,21.14,0.75,1.69,-0.14,38.9137,63.6414
918," ","PN G134.3-43.2 ",Pre8,2786087079519147520,A,21.6502,18.8551,1.67,18.1,-0.34,0.09,-0.39,21.6502,18.8551
919,*,"PN G135.6+01.0 ",WeBo1,465640807845756160,B,40.0599,61.1546,0.09,13.8,1.92,1.54,1.26,40.0599,61.1546
920," ","PN G135.9+55.9 ",TS1,846615127231002880,A,178.3531,59.6658,0.22,18.03,-0.29,0.14,-0.37,178.3531,59.6658
921,*,"PN G136.1+04.9 ",Abell6,467936205865972352,B,44.6745,64.5017,0.06,18.4,0.97,2.01,-0.07,44.6745,64.5017
922,*,"PN G136.3+05.5 ",HFG1,468033345145186816,B,45.946,64.9098,0.18,13.99,0.67,1.07,0.12,45.946,64.9098
923,*,"PN G136.6+61.9 ",PNG136.7+61.9,1573011744729727104,A,181.8684,54.0247,0.05,15.93,-0.57,0.0,-0.57,181.8684,54.0247
924," ","PN G136.8-13.2 ",Kn58,354941216942517504,A,33.116,47.4528,0.02,19.45,-0.36,0.39,-0.58,33.116,47.4528
925,*,"PN G137.6-30.0 ",Fr2-22,304311150320629376,A,27.7262,31.1296,0.73,14.31,-0.34,0.18,-0.45,27.7262,31.1296
926," ","PN G138.1+04.1 ",Sh2-200,466746538582576640,B,47.7452,62.7986,0.09,16.2,0.96,1.56,0.17,47.7452,62.7986
927,*,"PN G138.8+02.8 ",IC289,463228376251556224,B,47.5804,61.3169,0.21,16.4,0.61,1.36,-0.1,47.5804,61.3169
928," ","PN G138.8-06.2 ",KnJ0240.0+5311,453022223985513856,B,40.0063,53.191,1.14,20.07,0.87,0.69,0.54,40.0063,53.191
929," ","PN G139.0+03.2 ",IPHASXJ031345.5+613707,463616778732232064,B,48.438,61.6183,0.06,20.63,0.68,1.15,0.08,48.438,61.6183
930,*,"PN G139.3+04.8 ",KK26,463781877277363712,B,50.7721,62.7851,5.8,16.33,1.72,1.82,0.91,50.7721,62.7851
931," ","PN G141.7-07.8 ",Abell5,440314343470162304,B,43.0629,50.5983,0.25,19.73,1.44,0.85,1.06,43.0629,50.5983
932," ","PN G142.1+03.4 ",K3-94,450339621774948736,A,54.0337,60.0627,0.47,20.88,0.62,1.9,-0.39,54.0337,60.0627
933,*,"PN G143.5+38.7 ",WPS46,1071088328781771392,B,141.964,69.2391,1.44,10.71,0.11,0.55,-0.19,141.964,69.2391
934,*,"PN G144.1+06.1 ",NGC1501,473712872456844544,B,61.7475,60.9206,0.1,14.24,0.6,1.43,-0.16,61.7475,60.9206
935," ","PN G144.3-15.5 ",Abell4,337112571475961344,A,41.3485,42.5513,0.38,19.66,-0.16,0.14,-0.23,41.3485,42.5513
936,*,"PN G144.8+65.8 ",LTNF1,786919754746647424,B,179.4369,48.9384,0.09,15.1,0.41,0.23,0.29,179.4369,48.9384
937," ","PN G145.4+5.7  ",Dr26,470580325172742912,A,61.7066,59.7294,0.34,19.01,0.0,0.92,-0.5,61.7066,59.7294
938,*,"PN G146.1-08.1 ",Fr2-23,435527383380748416,A,48.6913,48.2016,0.34,14.3,-0.3,0.75,-0.71,48.6913,48.2016
939,*,"PN G146.7+07.6 ",M4-18,471908436438311680,B,66.4618,60.1202,0.07,13.66,0.78,0.97,0.29,66.4618,60.1202
940," ","PN G147.1-09.0 ",HaWe3,434853485833190528,B,49.1418,46.8937,0.09,17.87,1.07,0.6,0.79,49.1418,46.8937
941," ","PN G147.4-02.3 ",M1-4,443728125217394688,A,55.4309,52.2834,0.08,18.1,0.7,2.37,-0.56,55.4309,52.2834
942,*,"PN G147.8+04.1 ",M2-2,469056092819323392,B,63.3126,56.9496,0.34,15.83,0.89,1.88,-0.09,63.3126,56.9496
943,*,"PN G148.4+57.0 ",NGC3587,843950873117830528,A,168.6988,55.019,0.21,15.72,-0.57,0.0,-0.57,168.6988,55.019
944," ","PN G149.0+04.4 ",K4-47,276843494433439872,B,65.1884,56.3034,0.6,21.83,0.95,1.85,0.0,65.1884,56.3034
945," ","PN G149.1+08.7 ",Kn34,278903974927956864,B,71.3267,59.1576,3.32,19.34,2.21,1.52,1.57,71.3267,59.1576
946,*,"PN G149.4-09.2 ",HaWe4,241918950690107264,A,51.8142,45.4057,0.27,17.12,-0.14,0.55,-0.45,51.8142,45.4057
947,*,"PN G149.7-03.3 ",IsWe1,250358801943821952,A,57.2747,50.0041,0.19,16.47,-0.23,0.53,-0.53,57.2747,50.0041
948," ","PN G150.0-00.3 ",Te5,251042010983671936,B,60.873,52.1406,0.11,21.04,2.04,3.38,0.47,60.873,52.1406
949,*,"PN G150.1-04.5 ",IPHASXJ034659.8+484900,248726366476289280,B,56.7486,48.8168,1.6,16.6,1.61,1.65,0.87,56.7486,48.8168
950," ","PN G150.9-10.1 ",Bode1,238540495056450048,B,52.8,43.9042,0.11,12.56,1.39,0.55,1.15,52.8,43.9042
951," ","PN G151.0-00.4 ",Ou1,250719647917343232,A,61.8399,51.4062,0.05,19.32,-0.13,1.5,-0.93,61.8399,51.4062
952," ","PN G153.7+22.8 ",Abell16,1004051581576523008,A,100.9809,61.7902,0.31,18.62,-0.18,0.41,-0.41,100.9809,61.7902
953," ","PN G155.9+07.7 ",Pa153,266157955103568256,A,77.2818,53.1745,0.0,17.93,0.38,1.15,-0.24,77.2818,53.1745
954,*,"PN G156.3+12.5 ",HaWe6,268129413812162816,A,84.4845,55.5376,0.33,16.48,-0.37,0.43,-0.61,84.4845,55.5376
955," ","PN G156.4+01.1 ",IPHASXJ043826.1+483907,257707417969093376,B,69.6086,48.6506,5.65,18.28,1.74,2.34,0.66,69.6086,48.6506
956," ","PN G157.1+04.4 ",IPHASXJ045627.6+501720,259560266863447808,B,74.1153,50.2887,1.14,18.25,1.75,2.05,0.83,74.1153,50.2887
957," ","PN G157.3+10.3 "," ",263363241360588288,B,82.0889,53.5218,3.19,18.57,0.98,0.05,0.96,82.0889,53.5218
958," ",PN G158.3-05.6a,Pa167,229214265628948480,B,64.3602,42.5992,0.18,15.3,0.66,1.06,0.11,64.3602,42.5992
959,*,"PN G158.6+00.7 ",Sh2-216,254092090595748096,A,70.8387,46.7016,0.06,12.61,-0.5,0.0,-0.5,70.8387,46.7016
960,*,"PN G158.8+37.1 ",Abell28,1040417211407001984,A,130.3982,58.2301,0.1,16.5,-0.44,0.41,-0.67,130.3982,58.2301
961,*,"PN G158.9+17.8 ",PuWe1,997854527884948992,A,94.8914,55.6121,0.11,15.51,-0.39,0.3,-0.56,94.8914,55.6121
962," ","PN G159.0-15.1 ",IC351,219833434282576000,A,56.8874,35.0468,0.24,16.39,-0.34,0.46,-0.59,56.8874,35.0468
