idPNMain,PNG,Name,PNstat,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,Glon,Glat,Catalogue,PAdiam,EPA,mainClass,subClass,objID,RAJ2000_x,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
2426,024.4+00.9,MPA J1832-0706,T,18:32:22.9,-07:06:57.31,278.09541,-7.11592,24.4296,0.9661,2008MNRAS.384..525M,,,E,m;r;s,99462780953221176,278.09531599,-7.11601267,0.018,0.016,90.0,512024576,61,55993.50862269,5,54,21.998,0.0897,22.1317,0.0641,115000,19.6831,0.0102,17.8481,0.0202,16892216,18.5275,0.004,18.322,0.0851,16892216,17.6752,0.0178,17.4457,0.0494,16892216,17.0571,0.021,16.2435,0.0373,16892216,0.473369
2429,024.7+03.9,PHR J1822-0529,T,18:22:27.2,-05:29:16.08,275.61337,-5.4878,24.7281,3.9068,2006MNRAS.373...79P,,,I,a;s,101412756131195230,275.61315535,-5.48766119,0.017,0.017,90.0,444915712,53,55973.2143287,2,14,21.6989,0.1682,20.9104,0.1637,16793904,,,,,16416,20.0168,0.0544,19.7111,0.1273,16793912,19.5542,0.0135,19.1936,0.0372,16892216,19.0632,0.0257,18.5582,0.2446,115000,0.917269
2430,025.1-08.4,MPA J1907-1043,T,19:07:32.5,-10:43:44.72,286.88527,-10.72909,25.1333,-8.4113,2008MNRAS.384..525M,,,R,a;r;,95122868852855366,286.88527178,-10.72919459,0.019,0.002,0.0,444915712,53,55937.13211806,5,64,18.1992,0.0059,16.9909,0.0087,16892216,18.2768,0.013,17.3292,0.0209,16892216,18.479,0.0061,18.0877,0.0225,16892216,18.5688,0.0122,18.2707,0.0208,16892216,18.4992,0.024,18.0039,0.089,16892216,0.376577
2431,025.4-09.2,PHR J1911-1049,T,19:11:06.7,-10:49:17.29,287.77783,-10.82147,25.43994,-9.23928,2006MNRAS.373...79P,,,E,a;s,95012877779245276,287.77791549,-10.8209252,0.011,0.005,0.0,503635968,60,55908.33364583,5,69,18.0501,0.0063,17.7328,0.0236,16892216,17.3053,0.0029,17.2424,0.0086,115000,16.9514,0.0025,16.9914,0.0107,115000,16.7613,0.0051,16.814,0.0079,115000,16.6012,0.0078,16.705,0.0042,115000,1.984439
2432,025.5-06.8,MPA J1902-0940,T,19:02:37.5,-09:40:05.56,285.65617,-9.66821,25.5517,-6.8567,2008MNRAS.384..525M,,,R,,96392856561588414,285.65616511,-9.66831729,0.013,0.012,0.0,444915712,53,55996.29811343,5,67,17.1864,0.0349,15.9394,0.0152,16892216,17.3668,0.0145,16.2988,0.0446,16892216,17.6347,0.0075,16.901,0.0066,16892216,17.7659,0.0148,17.3038,0.0167,16892216,17.804,0.0354,17.1974,0.027,16892216,0.386634
2433,025.6+02.8,MPA J1827-0510,T,18:27:57.4,-05:10:22.80,276.98916,-5.173,25.6445,2.8397,2008MNRAS.384..525M,,,S,,101792769891492705,276.98914364,-5.17307981,0.007,0.004,90.0,1174724608,140,56011.36105324,5,67,20.0876,0.0236,20.2233,0.0289,16696,17.2688,0.0096,17.2673,0.0025,115000,17.5366,0.0077,17.5505,0.0113,115000,16.9001,0.0115,17.0014,0.0047,16810296,16.1021,0.0111,16.0384,0.0255,16793912,0.293242
2436,026.0-01.0,PHR J1842-0637,T,18:42:39.6,-06:37:01.24,280.665,-6.61701,26.0444,-1.07103,2006MNRAS.373...79P,,,B,a;s;,100062806646850156,280.6646528,-6.61688493,0.023,0.021,0.0,436527104,52,55933.2690625,3,20,,,,,16416,,,,,16416,20.9314,0.091,,,115000,19.8174,0.1943,19.6536,0.0828,115000,19.8608,0.0206,,,115000,1.320713
2437,026.0-09.4,PHR J1913-1021,P,19:13:05.5,-10:21:10.12,288.27287,-10.35281,26.0833,-9.4705,2006MNRAS.373...79P,,,I,,95572882730016686,288.27297831,-10.35312215,0.028,0.024,90.0,444915712,53,55863.25612269,5,58,19.8851,0.0177,19.8681,0.0388,115000,18.8031,0.0145,18.5607,0.0237,16892216,18.3963,0.0139,18.2721,0.0159,16892216,18.0961,0.0105,18.093,0.0189,16892216,17.945,0.023,17.8753,0.0249,16892216,1.187399
2439,026.2-03.4,PHR J1851-0732,T,18:51:31.3,-07:32:29.15,282.88042,-7.54143,26.2215,-3.4494,2006MNRAS.373...79P,,7.0,E,a;s,98952828804120644,282.88030472,-7.54148353,0.031,0.027,90.0,444915712,53,55952.27369213,5,54,19.1073,0.0289,15.1569,0.0032,16892216,18.1891,0.0911,,,16892216,17.8597,0.0149,17.6951,0.0282,16892216,17.7553,0.0023,17.7184,0.0217,16892216,17.5758,0.0106,17.5887,0.0494,16892216,0.454314
2441,026.7-01.2,PHR J1844-0603,T,18:44:29.0,-06:03:25.02,281.12082,-6.05695,26.7497,-1.2183,2006MNRAS.373...79P,,,E,a;r,100732811210261872,281.12103772,-6.05711325,0.01,0.008,0.0,503636096,60,55850.85122685,10,52,20.7069,0.048,20.6921,0.0777,115000,18.7758,0.0089,18.5542,0.0406,16892216,17.8228,0.003,17.8707,0.0051,115000,17.2217,0.0052,17.2401,0.0262,115000,16.7792,0.0173,16.7994,0.0343,115000,0.976156
