source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,ra_parallax_corr,dec_pmdec_corr,ruwe,duplicated_source,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,phot_variable_flag,l,b,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,teff_gspphot_upper,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
5935070312546473984,243.83384999086786,-50.700250301917066,0.6117261868103344,0.1928261,-6.141249949573711,0.21698515,-5.271640522011357,0.032900568,-0.11892334,1.0297067,false,18.598707,19.428974,17.687838,0,1.7411366,0.83026695,0.9108696,,"NOT_AVAILABLE",332.4072968210138,0.11934704262764802,0,false,false,false,false,false,true,false,4194.44,4302.212,4.9221,-1.5242,751.2098,0.9463,0.6904,0.3736,"243.8333333333333 -50.7",243.8333333333333,-50.7,0.0,0.0,0.0,0.0,2000.0,4.119916871305375E-4
5930296198710046976,250.83252797186012,-54.50000422131776,-2.330201656579609,0.93333596,-1.1338006238438716,1.1123457,-8.136355500464761,0.00848656,-0.22896966,1.0568324,false,20.444517,21.149328,19.7513,0,1.3980274,0.7048111,0.6932163,,"NOT_AVAILABLE",332.57917391995915,-5.5748009717427385,0,false,false,false,false,false,false,false,,,,,,,,,"250.8333333333333 -54.49999999999999",250.83333333333326,-54.49999999999999,0.0,0.0,0.0,0.0,2000.0,4.676948144765447E-4
5942725421744750720,250.24953234412416,-46.56640996132383,0.22246912786196674,0.28023112,-0.3275540001542441,0.3678246,-2.679242121866675,-0.033920314,-0.3026802,1.0402408,false,19.154974,19.953026,17.732817,33,2.2202091,0.79805183,1.4221573,,"NOT_AVAILABLE",338.32154041517174,-0.07853388931259658,0,false,false,false,false,false,false,false,,,,,,,,,"250.25 -46.56666666666666",250.25,-46.56666666666666,0.0,0.0,0.0,0.0,2000.0,4.114268280381048E-4
5967285174311104768,251.92113237096487,-44.56653586682749,0.48698080780362474,0.21457069,-3.3999749554030165,0.2629241,-4.258867945303658,-0.017066134,-0.53373826,0.9780733,false,18.746977,19.740135,17.774452,0,1.965683,0.99315834,0.97252464,,"NOT_AVAILABLE",340.5997242507201,0.3437248624924832,0,false,false,false,false,false,true,false,3803.4194,3888.463,4.8001,-0.5319,831.8046,0.6928,0.4855,0.2667,"251.9208333333333 -44.56666666666666",251.9208333333333,-44.56666666666666,0.0,0.0,0.0,0.0,2000.0,2.4999349004797323E-4
5967843593070174848,252.67894228495825,-43.06639171388982,0.5932483002530646,0.613152,-5.294730674497372,0.9513841,-7.291003191655822,-0.038665928,-0.5563914,1.0417423,false,19.924341,21.694159,18.694735,0,2.999424,1.7698174,1.2296066,,"NOT_AVAILABLE",342.1007655162281,0.88825749994725,0,false,false,false,false,false,false,false,,,,,,,,,"252.67916666666665 -43.06666666666666",252.67916666666667,-43.06666666666666,0.0,0.0,0.0,0.0,2000.0,3.201098277974951E-4
5972266378617408000,258.4586063452354,-39.749527537194126,0.7830923824869933,0.28985634,-1.8960489709236308,0.41181138,0.051802747832098504,0.16223012,-0.37795383,0.9816656,false,19.250313,,,,,,,,"NOT_AVAILABLE",347.3749171776994,-0.5092866975494992,0,false,false,false,false,false,false,false,,,,,,,,,"258.4583333333333 -39.74999999999999",258.4583333333333,-39.74999999999999,0.0,0.0,0.0,0.0,2000.0,5.169919364101161E-4
4053276708751657344,264.728978664776,-35.183338504119284,1.5692645495201287,0.7339653,-5.797597624244973,0.8698872,-1.4591526974572313,-0.2574199,-0.53464186,1.036996,false,19.867226,20.604652,18.241562,17,2.3630905,0.73742676,1.6256638,,"NOT_AVAILABLE",353.94118020511416,-2.0849867784755887,0,false,false,false,false,false,false,false,,,,,,,,,"264.72916666666663 -35.18333333333333",264.72916666666663,-35.18333333333333,0.0,0.0,0.0,0.0,2000.0,1.537432761831076E-4
4053276708751657600,264.7293327449039,-35.183700524891286,,,,,,,,,false,20.945314,,,,,,,,"NOT_AVAILABLE",353.9410278371702,-2.085424525392564,0,false,false,false,false,false,false,false,,,,,,,,,"264.72916666666663 -35.18333333333333",264.72916666666663,-35.18333333333333,0.0,0.0,0.0,0.0,2000.0,3.914770931130441E-4
4054437582556518528,262.61704703664606,-33.76637294984429,0.6753175890892813,0.25273418,0.6100761324717765,0.3394701,-3.1847538714612167,-0.119963564,-0.30065435,1.017649,false,19.022425,21.157503,17.59309,0,3.564413,2.1350784,1.4293346,,"NOT_AVAILABLE",354.1896688937359,0.14587587353412268,0,false,false,false,false,false,false,false,,,,,,,,,"262.6166666666666 -33.76666666666666",262.6166666666666,-33.76666666666666,0.0,0.0,0.0,0.0,2000.0,4.315730068199189E-4
4055405908700614912,264.6454210277142,-30.73321170312321,0.7096315315288784,0.17882961,-4.480677545041449,0.1824484,-4.337352765554771,-0.3161188,-0.55235255,1.0251272,false,17.697802,18.718401,16.68242,1,2.0359802,1.0205994,1.0153809,,"NOT_AVAILABLE",357.668224848856,0.34872566002196553,0,false,false,false,false,false,true,true,4746.6094,4778.8794,4.7992,-1.349,558.9511,2.3178,1.7041,0.9359,"264.6458333333333 -30.73333333333333",264.6458333333333,-30.73333333333333,0.0,0.0,0.0,0.0,2000.0,3.7469054008636366E-4
4056774152141086208,266.70874921920216,-30.266323961832665,0.6775279713107842,0.48315,1.1180390311488522,0.52552027,-0.7394270739505171,-0.2838371,-0.73033535,1.0923952,false,19.754017,21.509016,18.488884,0,3.020132,1.7549992,1.2651329,,"NOT_AVAILABLE",359.0009933120391,-0.9171246416677945,0,false,false,false,false,false,false,false,,,,,,,,,"266.7083333333333 -30.266666666666666",266.7083333333333,-30.266666666666666,0.0,0.0,0.0,0.0,2000.0,4.964562762093547E-4
