recno,Astrom,PNG,OName,GaiaEDR3,Group,RA_ICRS,DE_ICRS,Dang,Gmag,BP-RP,AV,(BP-RP)0,_RA_icrs,_DE_icrs,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag_x,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
320,,"PN G013.7-04.7 ",PTB37,4092855824530810496,B,278.1443,-19.2354,0.3,18.8,0.68,1.57,-0.14,278.1443,-19.2354,84912781442008105,278.14433862,-19.23535949,0.026,0.016,90.0,444915712,53,56005.22994213,3,41,18.6564,0.0285,16.9737,0.0285,16892216,18.5519,0.0302,17.2771,0.0589,16892216,18.6111,0.0153,18.2181,0.1774,16892208,18.5649,0.0308,18.2651,0.0757,16793912,18.096,0.02,17.5098,0.0905,16793912,0.194206
321,,"PN G013.7-10.6 ",Y-C2-32,4084782767771399040,A,283.8778,-21.8278,0.27,16.02,-0.13,0.64,-0.49,283.8778,-21.8278,81802838778117056,283.87779901,-21.8277543,0.004,0.003,90.0,512024576,61,56088.45746528,5,72,14.9228,0.135,14.0137,0.0026,16892216,15.6206,0.0377,14.52,0.0083,16892216,15.9321,0.0167,15.328,0.0058,16892216,16.1461,0.013,15.4955,0.004,16892216,15.7888,0.0794,14.9051,0.0048,16892216,0.167255
322,*,"PN G013.8-02.8 ",SaWe3,4096221021593115264,B,276.5153,-18.2096,0.07,16.49,1.37,0.67,1.08,276.5153,-18.2096,86142765153168880,276.51531957,-18.20958001,0.003,0.003,90.0,503635968,60,56068.43376157,5,80,17.2824,0.0048,17.3833,0.0293,115000,16.4664,0.027,15.8471,0.1486,115000,16.1986,0.0061,16.2628,0.0043,115000,15.954,0.0351,15.9792,0.0027,115000,15.779,0.0012,15.9525,0.0184,115000,0.099462
323,,"PN G013.8-07.9 ",PC21,4080123484141978752,A,281.397,-20.5832,0.02,17.73,0.19,0.81,-0.25,281.397,-20.5832,83302813970360529,281.39704259,-20.58323003,0.033,0.019,0.0,444915712,53,55870.9656713,5,71,17.5053,0.015,14.4094,0.0273,16892216,17.4964,0.0066,14.6202,0.0025,16892216,17.8268,0.0117,15.5848,0.0596,16892216,17.9954,0.0065,15.6625,0.0357,16892216,17.6607,0.0164,14.5425,0.0118,16892216,0.178714
324,,"PN G014.0+04.8 ",PTB19,4148581650775253120,A,269.6085,-14.4232,0.57,18.53,1.41,3.33,-0.29,269.6085,-14.4232,90692696084772391,269.60849714,-14.4232444,0.037,0.012,0.0,512024576,61,55920.72898148,5,51,18.8061,0.0417,17.6211,0.0172,16892216,17.9799,0.0164,16.7515,0.0128,16892216,17.9111,0.0078,16.9797,0.0079,16892216,17.301,0.0214,16.3875,0.0342,16892216,16.6294,0.0176,15.5746,0.0387,16892208,0.161395
325,*,"PN G014.0-02.5 ",Tan2,4096278711670069248,B,276.3213,-17.9413,0.29,16.07,1.66,2.35,0.56,276.3213,-17.9413,86472763213350850,276.32128593,-17.94129319,0.011,0.003,0.0,243589120,29,56152.42429398,6,84,16.9687,0.0364,16.8262,0.0171,16892216,15.6782,0.0802,14.883,0.012,16875832,15.3429,0.015,15.1659,0.0338,16892216,14.9659,0.0029,14.7519,0.0052,16843064,14.6483,0.0075,14.2761,0.017,16892216,0.053181
326,,"PN G014.0-05.5 ",V-V3-5,4092472408529260672,B,279.1348,-19.3242,0.07,17.12,0.44,0.99,-0.09,279.1348,-19.3242,84812791349171416,279.13475925,-19.3242115,0.133,0.12,0.0,444915712,53,56064.42986111,2,21,,,,,16416,16.5817,0.0277,14.5046,0.0502,16793912,16.9388,0.031,14.9325,0.0099,16892208,16.8231,0.0268,15.1249,0.012,16892216,,,,,16416,0.144831
327,,"PN G014.1+02.7 ",PaJ1806.3-1520,4146705269757414272,A,271.5849,-15.3354,0.15,19.06,1.57,3.52,-0.21,271.5849,-15.3354,89592715849187862,271.58491912,-15.33543998,0.005,0.004,0.0,436527104,52,55920.17196759,5,67,20.098,0.0221,20.2469,0.0426,115000,19.2069,0.0269,19.3365,0.0335,115000,18.6547,0.0103,18.8049,0.0211,115000,18.3299,0.0059,18.5627,0.0123,115000,18.1679,0.0632,18.6285,0.0604,115000,0.159716
328,,"PN G014.2+00.2 ",MSX6CG014.2361+00.2138,4097646121790662784,A,273.8935,-16.4745,0.13,20.84,4.64,26.32,-1.85,273.8935,-16.4745,88232738934830986,273.89353865,-16.47451256,0.012,0.007,0.0,512024576,61,56001.17989583,4,50,24.711,,,,16420,21.0141,0.1974,20.5948,0.0291,16892208,20.0342,0.0478,19.7462,0.1486,16892216,18.4108,0.0422,17.7359,0.0357,16892216,16.9965,0.0096,16.3567,0.0317,16892216,0.140141
329,,"PN G014.2+03.8 ",PM1-205,4146998736283238656,B,270.6594,-14.7011,1.09,16.43,1.63,2.88,0.23,270.6594,-14.7011,90352706594609068,270.65944425,-14.70110434,0.072,0.03,0.0,444915712,53,55912.67644676,5,56,17.2962,0.0067,17.2227,0.0109,16892216,16.5286,0.0144,16.2973,0.0092,16892216,16.0613,0.014,16.0247,0.0085,16892216,15.8079,0.015,15.5202,0.02,16892216,15.1626,0.0039,14.8425,0.0138,16892216,0.154753
330,,"PN G014.2-07.3 ",M3-31,4080221267663409408,B,281.0074,-19.9147,0.25,14.74,0.44,0.99,-0.09,281.0074,-19.9147,84102810073992760,281.00738492,-19.91464954,0.026,0.023,90.0,503635968,60,56028.68314815,6,69,14.3155,0.0017,14.3534,0.0021,115000,14.3211,0.0095,14.3425,0.0025,115000,15.1758,0.0126,15.3267,0.1451,16892216,15.1296,0.0041,15.0771,0.0088,16892216,14.4988,0.0209,14.4829,0.0028,16892216,0.187147
331,,"PN G014.3-07.2 ",PTB40,4080225974947722752,B,280.9159,-19.8091,0.22,17.28,0.24,1.17,-0.4,280.9159,-19.8091,84222809159259467,280.91592897,-19.80906495,0.022,0.002,0.0,444915712,53,55957.16523148,5,77,17.2801,0.0108,16.4804,0.009,16892216,17.3098,0.0022,16.8843,0.0042,16892216,17.4498,0.0061,17.3881,0.0182,16892216,17.5093,0.0126,17.5527,0.0283,115000,17.5798,0.0154,17.6012,0.0301,115000,0.15757
332,,"PN G014.4+06.9 ",Pa81,4149764008058852352,B,267.9769,-12.9712,0.8,20.08,1.57,2.69,0.26,267.9769,-12.9712,92432679769224933,267.97690672,-12.97115119,0.016,0.014,0.0,436527232,52,55970.5416088,10,49,20.9689,0.0469,20.998,0.0294,115000,20.1335,0.0082,20.162,0.0265,115000,19.6155,0.0089,19.6348,0.0198,115000,19.3153,0.0072,19.3293,0.0308,115000,19.2094,0.0379,19.4888,0.0463,115000,0.177252
333,*,"PN G014.4-06.1 ",SB19,4092512742510443136,A,279.9169,-19.2368,0.43,16.05,0.29,1.24,-0.39,279.9169,-19.2368,84912799169116191,279.91691578,-19.2368167,0.015,0.006,0.0,444915712,53,55998.00509259,5,84,16.1313,0.0047,15.8724,0.006,16892216,16.1336,0.0081,15.8288,0.031,16892216,16.2144,0.0077,15.9922,0.0634,16892216,16.2803,0.0032,16.1603,0.0111,16892216,16.3078,0.009,16.0149,0.0357,16892216,0.08263
334,,"PN G014.5-07.3 ",PNPM1-254,4080250924463314944,A,281.1222,-19.7126,0.76,17.38,0.45,1.24,-0.21,281.1222,-19.7126,84342811222075374,281.12221605,-19.71254735,0.006,0.004,0.0,503635968,60,55942.92165509,5,67,17.548,0.0014,17.5311,0.0147,115000,17.4774,0.0105,17.521,0.003,115000,17.3169,0.0054,17.3934,0.0181,115000,17.5074,0.0076,17.5972,0.0181,115000,17.3475,0.0163,17.4677,0.0337,115000,0.199642
335,,"PN G014.6+01.0 ",PHRJ1813-1543,4145786932745283584,B,273.3708,-15.7222,1.06,18.87,3.54,4.53,1.74,273.3708,-15.7222,89132733707333758,273.37076013,-15.72217813,0.047,0.027,90.0,503635968,60,55739.91710648,4,34,22.0622,0.1934,,,17464,19.5773,0.0241,19.4638,0.0071,16892208,18.2252,0.0161,18.2848,0.0355,16892216,17.3029,0.0077,17.381,0.01,115000,16.7089,0.0074,16.781,0.0263,115000,0.159727
336,,"PN G014.7+04.8 ",PHRJ1759-1350,4150150211508171648,B,269.9387,-13.8387,4.72,20.88,1.38,2.65,0.06,269.9387,-13.8387,91392699387104006,269.93869959,-13.83867113,0.014,0.014,0.0,436527104,52,55986.79172454,5,34,,,,,114720,21.1802,0.0264,21.4061,0.0555,115000,20.4232,0.0283,20.6496,0.0579,115000,19.9099,0.0376,20.2701,0.0549,115000,19.8372,0.1914,19.8561,0.2478,115000,0.105002
337,,"PN G014.7-11.8 ",SaWe4,4081863628798972032,B,285.5735,-21.4478,0.92,18.8,0.45,0.35,0.27,285.5735,-21.4478,82262855735393002,285.57354071,-21.44781173,0.123,0.112,0.0,444915712,53,55947.26761574,5,73,18.5915,0.0124,18.1592,0.0215,16892216,18.5227,0.0045,18.151,0.0217,16892216,18.4684,0.0175,18.2263,0.0356,16892216,18.4608,0.0143,18.3884,0.0203,16892216,18.4774,0.0167,18.3227,0.0378,16892216,0.143136
338,*,"PN G014.8-08.4 ",SB20,4085994773196437888,A,282.3508,-19.8704,0.11,14.99,-0.04,0.62,-0.38,282.3508,-19.8704,84152823507685896,282.3507678,-19.87038054,0.004,0.002,0.0,503635968,60,55886.06664352,5,63,14.9648,0.0048,14.6268,0.051,16892216,15.162,0.0046,14.9964,0.017,16892216,15.3671,0.0035,15.318,0.0116,115000,15.5064,0.0019,15.4941,0.0068,115000,15.6145,0.008,15.5883,0.0103,115000,0.128576
339,*,"PN G014.8-25.6 ",HaWe14,6754240246564390784,A,299.5545,-26.4712,0.29,18.51,-0.39,0.32,-0.57,299.5545,-26.4712,76232995544914960,299.55446296,-26.47115334,0.016,0.006,0.0,436527104,52,56118.04787037,5,71,18.3775,0.0056,18.4283,0.0064,115000,18.7502,0.0062,18.7921,0.0104,115000,19.0617,0.0086,19.1454,0.0112,115000,19.3145,0.0237,19.4088,0.049,115000,19.4808,0.0365,,,115000,0.208844
