recno,uid,R,GCVS,RAJ2000,DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,Epoch,GLON,GLAT,VarType,Per,OutDate,Cl,l_Maxmag,Maxmag,n_Maxmag,l_Minmag,Minmag,u_Minmag,n_Minmag,ref(Coo),f_ref(Coo),ref(pm),ref(CV),f_ref(CV),ref(CV)2,f_ref(CV)2,ref(Cha),u_ref(Cha),n_ref(Cha),ref(Sp),n_ref(Sp),u_ref(Sp),f_ref(Sp),ref(Per),f_ref(Per),Names,IUE,HST,ARIEL5,HEAO1,HEAO2,EXOSAT,ROSAT,GINGA,ASCA,EUVE,objID,RAJ2000_x,DEJ2000_x,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch_x,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
564,7870,*,DW UMa,158.47024999999996,58.781861111111105,-0.00296,0.0039,5.8E-4,0.00389,2000.904,150,50,UX/VY,0.136607,,,,14.9,V,,18.0,,V,2006-22,,2006-22,1995-32,/,1994-49,,1982-06,,,1988-07,S,,,2003-103,,PG 1030+590,U,H,,,,,R,,,,178531584702198940,158.47032007,58.78187104,0.006,0.004,0.0,503635968,60,56210.56988426,5,83,14.0227,0.0319,14.0729,0.0165,115000,14.251,0.0773,14.4267,0.1306,115000,14.2173,0.0214,14.2731,0.0254,115000,14.3414,0.0328,14.3971,0.0349,115000,14.3223,0.0299,14.3414,0.0278,115000,0.13554
572,7879,,IY UMa,160.98637499999998,58.12552777777777,-0.05542,0.0039,-0.03032,0.00389,2002.118,150,52,UGSU,0.073909,,,,13.0,p,,18.4,,p,2006-22,,2006-22,2000-36,,,,2000-36,,,,,,,2003-110,,Tmz V85,,,,,,,,,,,177751609860651332,160.98598298,58.12545177,0.004,0.002,90.0,503636096,60,56109.99498843,5,61,17.2783,0.0612,17.3364,0.0749,115000,17.486,0.0985,17.5747,0.0978,115000,17.3267,0.0389,17.4953,0.0295,115000,17.1611,0.0362,17.2116,0.0337,115000,16.9145,0.0218,16.9435,0.0392,115000,0.793883
635,8434,,UMa,179.16449999999998,63.15213888888888,,,,,,133,53,CV,,,,,20.7,s,,,,,2004-45,,,2004-45,,,,A9999-99,,,2004-45,S,,,,,SDSS J115639+630907,,,,,,,,,,,183781791645713369,179.16443861,63.15216758,0.116,0.075,0.0,436527104,52,56046.48866898,5,61,19.3944,0.1118,19.5496,0.1301,115000,19.866,0.1258,20.0961,0.0919,115000,19.3426,0.1051,19.385,0.0985,115000,19.4528,0.0713,19.4277,0.1092,115000,18.6177,0.0306,18.7381,0.0452,115000,0.143633
614,8433,,UMa,173.06454166666666,62.81680555555555,-0.00839,0.0039,-0.00706,0.00389,2001.373,117,52,CV,,,,,18.5,s,,,,,2006-22,,2006-22,2004-45,,,,A9999-99,,,2004-45,S,,,,,SDSS J113215+624900,,,,,,,R,,,,183381730645010854,173.06451366,62.81674196,0.009,0.003,90.0,436527232,52,56026.41166667,5,75,19.1138,0.1349,18.9734,0.1152,115000,18.7824,0.0887,18.8167,0.094,115000,18.743,0.0172,18.7975,0.0333,115000,18.6786,0.0602,18.7544,0.0674,115000,18.844,0.0356,19.0118,0.0586,115000,0.233531
422,8446,,Cnc,122.19245833333332,31.518333333333327,-0.00137,0.0039,-0.00566,0.00389,2001.967,190,29,UG,,,,,14.5,V,,19.4,,s,2006-22,,2006-22,2004-45,,,,A9999-99,,,2004-45,S,,,,,SDSS J080846+313106,,,,,,,,,,,145821221924682582,122.19248076,31.51831233,0.026,0.006,90.0,503636096,60,56093.98659722,5,64,18.8564,0.0504,18.9519,0.0496,115000,18.449,0.0597,18.5231,0.0475,115000,17.9496,0.0145,18.063,0.0144,115000,17.715,0.044,17.8258,0.0485,115000,17.6079,0.0198,17.7347,0.0653,115000,0.102245
388,8284,,Gem,114.57391666666665,28.922138888888885,0.00444,0.0039,7.4E-4,0.00389,2001.14,191,22,CV,0.0875,,,,19.4,s,,,,,2006-22,,2006-22,2003-22,,,,A9999-99,,,2003-22,S,,,2003-22,,SDSS J073817+285520,,,,,,,,,,,142701145739387151,114.57393295,28.92213742,0.008,0.003,90.0,503636160,60,56024.89222222,5,77,18.8766,0.092,19.0278,0.1108,115000,18.5913,0.0771,18.6917,0.0565,115000,17.8677,0.0207,17.941,0.0176,115000,17.4759,0.0376,17.5499,0.0354,115000,17.4179,0.0195,17.4778,0.035,115000,0.051581
396,8445,,Gem,117.05641666666665,29.085888888888885,0.01008,0.0039,-5.0E-4,0.00389,2001.888,191,24,NL,0.0597,,,,18.8,s,,,,,2006-22,,2006-22,2004-45,,,,A9999-99,,,2004-45,S,,,2004-45,,SDSS J074813+290509,,,,,,,,,,,142901170564033590,117.05638732,29.08585709,0.003,0.002,0.0,436527232,52,55891.02528935,5,85,18.6039,0.0257,18.6188,0.0364,115000,18.4969,0.0267,18.5576,0.0275,115000,18.7407,0.0433,18.8209,0.0502,115000,18.7926,0.0283,18.8897,0.0266,115000,18.7919,0.037,18.9247,0.0407,115000,0.147067
364,8816,,Gem,106.03612499999998,26.419694444444442,,,,,,190,14,DQ,0.174,,,,16.7,B,,,,,2005-44,,,2005-44,,,,2005-44,,,2005-44,S,,,2005-44,,1RXS J070407+262501,,,,,,,R,,,,139701060361114224,106.03611615,26.41965483,0.004,0.002,90.0,503636096,60,56027.8555787,5,86,16.9259,0.0273,16.9932,0.0254,115000,16.8027,0.0097,16.8946,0.0169,115000,16.9688,0.0367,17.0031,0.0298,115000,16.9979,0.0186,17.0943,0.0256,115000,16.9409,0.0127,17.0693,0.0071,115000,0.145438
376,7231,*,AW Gem,110.66991666666665,28.50458333333333,0.01,0.006,-0.01,0.003,2000.0,190,18,UGSU,,,,,13.1,V,,19.4,,V,2003-115,,2003-115,1995-41,,,,1982-03,,,1987-05,S,,,,*,8.1933,,,,,,,,,,,142201106701116076,110.67012144,28.50454979,0.004,0.002,90.0,436527232,52,55986.04009259,5,104,19.0055,0.0307,19.0945,0.0199,115000,19.2514,0.0163,19.2507,0.0218,115000,18.5837,0.1018,18.6882,0.0484,115000,18.6476,0.0598,18.7659,0.0356,115000,18.3596,0.0698,18.3751,0.0745,115000,0.65898
358,7234,,DN Gem,103.72645833333331,32.14108333333333,-0.0016,0.0059,-0.007,0.0059,2000.0,184,15,NA,0.12785,1912.2,,,3.5,p,,16.0,,B,2004-105,,2004-105,1987-08,,,,1987-08,,,1983-12,S,,,1999-73,,HD 50480,U,,,,,,,,,,146561037264529896,103.72645328,32.14107113,0.007,0.004,0.0,503636160,60,55969.02658565,10,82,16.0891,0.0133,16.149,0.0114,115000,16.1381,0.0061,16.1821,0.0092,115000,16.2265,0.0228,16.2639,0.0033,115000,16.2967,0.0112,16.3944,0.013,115000,16.3389,0.0069,16.3729,0.0216,115000,0.046554
