# recno   PNG           Name              f_PNG   RAJ2000              DEJ2000                SpType1              r_SpType1   SpType2         r_SpType2   BR        rspect                     Com                                                                                                                                  SimbadName       recno   PNG           l_logg   logg   E_logg   e_logg   r_logg    TpTeff    l_logTeff   logTeff   E_logTeff   e_logTeff   r_logTeff   l_logL   logL    E_logL   e_logL   r_logL    Band   l_mag   mag     E_mag   e_mag   r_mag     Note      
  276     "136.3+05.5 " "HFG 1"           " "     45.945833333333326   64.90991666666666      "sdO + ?"            "CB2016 "   "F9 V"          "EP2005 "   "EP2005 " NS1995,EP2005              " "                                                                                                                                  "PN G136.3+05.5" 276     "136.3+05.5 " " "      5.65   0.05     0.05     "CB2016 " " "       " "         5.0       ""          ""          PR2013b     " "      3.33    ""       ""       PR2013b   "v "   " "     14.5    ""      ""      "CB2016 " " "       
  284     "147.8+04.1 " "M 2-2"           " "     63.31249999999999    56.94955555555555      cont.                "AK1987 "   " "             "       "   "       " -                          " "                                                                                                                                  "PN G147.8+04.1" 284     "147.8+04.1 " " "      4.72   ""       ""       "AK1987 " eff       " "         5.216     0.301       0.301       "SV2002 "   " "      3.229   0.302    0.302    "SV2002 " "  "   " "     ""      ""      ""      "       " " "       
  282     "146.7+07.6 " "M 4-18"          " "     66.46208333333333    60.12022222222221      "[WC 11]"            "AN2003 "   " "             "       "   "       " MP2006                     " "                                                                                                                                  "PN G146.7+07.6" 282     "146.7+07.6 " " "      2.9    ""       ""       "t.w.   " bb        " "         4.4       ""          ""          "GZ2007 "   " "      3.8     ""       ""       "GZ2007 " "v "   " "     13.96   ""      ""      "GT2000 " " "       
  280     "144.5+06.5 " "NGC 1501"        " "     61.746666666666655   60.92063888888888      "[WO 4]"             "AN2003 "   " "             "       "   "       " SK1994,AN2003              " "                                                                                                                                  "PN G144.5+06.5" 280     "144.5+06.5 " " "      6.0    ""       ""       "HW2006 " eff       " "         5.127     ""          ""          "HW2006 "   " "      3.8     ""       ""       "GZ2007 " "v "   " "     14.39   ""      ""      "GT2000 " " "       
  269     "128.0-04.1 " "Sh 2-188"        " "     22.637916666666662   58.41408333333332      DAO                  "NS1995 "   " "             "       "   "       " GB2010                     " "                                                                                                                                  "PN G128.0-04.1" 269     "128.0-04.1 " " "      7.41   ""       ""       "GB2010 " " "       " "         5.199     ""          ""          GM2019b     " "      2.4     ""       ""       GM2019b   "v "   " "     17.7    0.3     0.3     "NS1995 " " "       
  270     "130.2+01.3 " "IC 1747"         " "     29.39958333333333    63.32205555555554      "[WO 4]"             "AN2003 "   " "             "       "   "       " SK1994                     " "                                                                                                                                  "PN G130.2+01.3" 270     "130.2+01.3 " " "      4.3    ""       ""       "ZK1993 " *         " "         5.1       ""          ""          "Ko2001 "   " "      3.7     ""       ""       "Ko2001 " "v "   " "     15.4    ""      ""      "GT2000 " " "       
  268     "126.6+01.3 " "IPHAS PN-1"      " "     21.282916666666665   63.94797222222221      "EL + ?"             "MC2006 "   " "             "       "   "MC2006 " -                          "PN PRINCIPES DE ASTURIAS. Ha and CaII emission."                                                                                    "PN G126.6+01.3" 268     "126.6+01.3 " " "      ""     ""       ""       "       " " "       " "         ""        ""          ""          "       "   " "      ""      ""       ""       "       " "r\'"  " "     18.12   0.02    0.02    "MC2006 " " "       
  266     "124.0+10.7 " "EGB 1"           " "     16.781666666666663   73.55641666666665      DA                   "NS1995 "   " "             "       "   "       " NS1995                     " "                                                                                                                                  "PN G124.0+10.7" 266     "124.0+10.7 " " "      7.34   0.31     0.31     "N1999  " eff       " "         5.167     0.074       0.074       "N1999  "   " "      1.68    ""       ""       GM2019b   "v "   " "     16.3    0.4     0.4     "NS1995 " " "       
  262     "120.0+09.8 " "NGC 40"          " "     3.254166666666666    72.52197222222222      "[WC 8]"             "AN2003 "   " "             "       "   "       " "TR2019, MP2006"           " "                                                                                                                                  "PN G120.0+09.8" 262     "120.0+09.8 " " "      4.8    ""       ""       "Gd2013 " eff       " "         4.851     ""          ""          "Gd2013 "   " "      3.3     ""       ""       "GZ2007 " "v "   " "     11.58   ""      ""      "GT2000 " " "       
  330     "219.1+31.2 " "A 31"            " "     133.55499999999998   8.898083333333332      "DAO + ?"            "WR2019 "   sdO6            "HA1987 "   "CB1999 " NS1995                     " "                                                                                                                                  "PN G219.1+31.2" 330     "219.1+31.2 " " "      6.6    ""       ""       "Gd2013 " eff       " "         4.929     ""          ""          "Gd2013 "   " "      1.69    ""       ""       GM2019b   "v "   " "     15.52   ""      ""      "HD2007 " " "       
